5_1, Accuracy for video,0.667, Accuracy for ear,0.518
5_2, Accuracy for video,0.333, Accuracy for ear,0.463
5_3, Accuracy for video,0.694, Accuracy for ear,0.537
5_4, Accuracy for video,0.417, Accuracy for ear,0.463
5_5, Accuracy for video,0.611, Accuracy for ear,0.498
--------------------------------------------------------
5_1, Accuracy for video,0.667, Accuracy for ear,0.483
5_2, Accuracy for video,0.694, Accuracy for ear,0.45
5_3, Accuracy for video,0.361, Accuracy for ear,0.415
5_4, Accuracy for video,0.694, Accuracy for ear,0.557
5_5, Accuracy for video,0.556, Accuracy for ear,0.437
---------------------------------------------------------
5_1, Accuracy for video,0.583, Accuracy for ear,0.563
5_2, Accuracy for video,0.722, Accuracy for ear,0.516
5_3, Accuracy for video,0.528, Accuracy for ear,0.44
5_4, Accuracy for video,0.694, Accuracy for ear,0.478
5_5, Accuracy for video,0.583, Accuracy for ear,0.469
